original,leicht
Man spricht dabei auch von der Darm-Hirn-Achse.,"Forscher vermuten: Darm, Gehirn und Psyche beeinflussen sich gegenseitig."
Menschen mit Reizdarmsyndrom haben gegenüber Gesunden eine veränderte Darmflora.,Andere Personen in der Familie haben vielleicht auch das Reizdarm-Syndrom.
Im unteren Dünndarm befinden sich dann mehr Gallensäuren als dort wieder aufgenommen werden können.,Für die Verdauung braucht der Darm Gallensäure.
Video: Was macht der Behindertenbeauftragte der Bundesregierung?,Was macht der Behindertenbeauftragte der Bundesregierung?
"Der oder die Beauftragte hat keine Möglichkeit, Behörden oder anderen Stellen Weisungen zu erteilen oder ein bestimmtes Handeln vorzuschreiben.",Der oder die Beauftragte hat sehr viele Aufgaben.
"Nach § 18 BGG Absatz 1 hat der oder die Beauftragte der Bundesregierung für die Belange von Menschen mit Behinderungen die Aufgabe, „darauf hinzuwirken, dass die Verantwortung des Bundes, für gleichwertige Lebensbedingungen für Menschen mit und ohne Behinderungen zu sorgen, in allen Bereichen des gesellschaftlichen Lebens erfüllt wird“.","Das ist die Haupt-Aufgabe von einem Beauftragten der Bundes-Regierung für die Belange von Menschen mit Behinderungen: Darauf achten, dass alle Menschen gute Lebens-Bedingungen haben."
"Politische und soziale Rahmenbedingungen mitgestalten Nicht nur die vom Staat gesetzten Rahmenbedingungen, sondern alle gesellschaftlichen Veränderungen können erhebliche Auswirkungen auf Menschen mit Behinderungen haben.",Politisch und sozial mitgestalten Vieles kann das Leben von Menschen mit Behinderungen verändern.
Bei dem Erstellen Ihrer Vorsorgevollmacht beraten wir Sie gern.,Wichtig: Wenn Sie keine Vorsorge-Vollmacht haben:
"Mit Ihrer Vorsorgevollmacht ist die von Ihnen ausgewählte Person sofort handlungsfähig, wenn Sie hilfebedürftig werden.",Â Wenn Sie hilfe-bedÃ¼rftig werden: Kann die Person mit Ihrer Vorsorge-Vollmacht sofort fÃ¼r Sie entscheiden .
Bitte vereinbaren Sie einen Termin mit uns.,Und machen Sie einen Termin aus.
Diese Kapseln enthalten immer eine Flüssigkeit.,Weichkapseln enthalten eine Flüssigkeit.
"Manche Arzneimittel sollten nicht nüchtern eingenommen werden, weil sie sonst weniger verträglich sind und die Schleimhäute angreifen.",Oder die Medikamente sind dann vielleicht sogar giftig.
"""Damit die Tabletten den Magen schnell passieren, sollten sie auf nüchternem Magen mit reichlich Leitungswasser geschluckt werden, also im Allgemeinen morgens mindestens eine halbe Stunde vor dem Frühstück"", sagt Kircher.",Magensaftresistente Tabletten sollten morgens eine halbe Stunde vor dem Essen mit viel Wasser geschluckt werden.
Dafür gibt es mehrere Möglichkeiten.,Deshalb gibt es auch Hartkapseln ohne Gelatine.
"Bei manchen Wirkstoffen wie beispielsweise Diclofenac müssen die Tabletten mit einer Schicht überzogen werden, die Magensäure abhält.",Manche Tabletten werden mit einer Schicht überzogen.
Sie werden vor der Einnahme in Wasser aufgelöst und ergeben in der Regel ein Getränk mit Geschmack.,Dann kann ein Apotheker die Kapseln in der Apotheke füllen und zusammenstecken.
Manche Arzneimittel müssen im Kühlschrank gelagert werden.,Manche Medikamente müssen Sie im Kühlschrank lagern.
"""Der Trägerstoff kann auch sehr hart sein, deshalb nicht auf die Retard-Tabletten beißen"", warnt Kircher.",Der Wirkstoff ist oft nämlich nicht gleichmäßig auf beide Hälften der Tablette verteilt.
"Soll der Patient große Mengen eines Wirkstoffs einnehmen, sind die Tabletten unter Umständen zu groß zum Schlucken.",Dann sind die Tabletten vielleicht zu groß zum Schlucken.
Dazu zählen zum Beispiel Impfstoffe.,Hartkapseln enthalten zum Beispiel:
""" Deshalb sollte man Tabletten nur teilen, wenn es im Beipackzettel steht und zum Beispiel auch eine halbe Tablette als Dosisoption angegeben ist.",Deshalb gibt es den Wirkstoff dann als Tablette zum Kauen oder Lutschen.
Für die meisten Tabletten gelten die Aufbewahrungsempfehlungen: kühl trocken nicht in direktem Sonnenlicht,Die Informationen sind dann nicht mehr in Einfacher Sprache.
So würden die Wirkstoffe und ihre Zerfallsprodukte in das Grundwasser gelangen und können Schaden anrichten.,So wird die Tablette nicht durch die Magensäure zerstört.
"Der Grund ist in der Regel, dass sich bei Zimmertemperatur die Inhaltsstoffe schneller zersetzen.",Manchmal ist die Kerbe in der Mitte nur Dekoration.
"Alternativ gibt es Kapselhälften aus modifizierter Cellulose, bei denen der Grundstoff aus Pflanzen stammt.",Tabletten gibt es in vielen verschiedenen Arten.
"Wenn es vom Wirkstoff her zulässig ist, kann die Weichkapsel bei Schluckproblemen zerbissen oder angestochen und der Inhalt in den Mund ausgedrückt werden.",Schmelztabletten werden in den Mund oder unter die Zunge gelegt.
"Einige Tabletten werden mit einem Film überzogen, der sie vor Licht schützt.",Diese Schicht schützt die Tabletten vor Licht.
Diese Darreichungsform besteht aus zwei Gelatinehälften und enthält meist Pulver Granulat Pellets oder ölige Flüssigkeiten,Granulat besteht aus kleinen Körnern oder Kugeln.
Dragees sind aus ähnlichen Gründen mit einer Schutzschicht aus Zucker überzogen.,Bei Dragees besteht diese Schicht aus Zucker.
"""Allerdings können Brausetabletten unverhältnismäßig viel Natriumcarbonat als sprudelnden Zusatz enthalten"", warnt Kircher.",Achtung: Brausetabletten enthalten viel Natriumcarbonat.
Dafür ist aber ein gewisses Geschick nötig.,Gelatine ist ein tierisches Produkt.
"Sie sind angebracht, wenn ein konstanter Wirkstoffpegel erwünscht ist.",Brausetabletten sind für Sie dann vielleicht nicht geeignet.
Denn nicht bei allen Medikamenten ist der Wirkstoff gleichmäßig auf die ganze Tablette verteilt.,Dort löst der Speichel die Tabletten auf.
"Achtung bei Milchprodukten oder Fruchtsäften, sie können die Wirkungen und Nebenwirkungen mancher Arzneimittel beeinflussen und sollten deshalb nicht zusammen mit Tabletten eingenommen werden.",Andere Flüssigkeiten wie Saft oder Kaffee beeinflussen den Wirkstoff des Medikaments vielleicht.
"""Die Tabletten können nicht nur ihre Wirkung verlieren.",Sie zerbrechen die Tablette trotzdem?
Andernfalls treten eventuell mehr Nebenwirkungen auf.,Manche Menschen verzichten auf tierische Produkte.
"Manchmal bekommen aber auch Hartkapseln solch eine Schutzhülle, zum Beispiel Typhusimpfstoff.",So erhält es oft eine runde Form.
"Apotheker Kircher plädiert dafür, Tabletten nur mit Wasser zu schlucken.",Trinken Sie zu der Tablette ein großes Glas voll Wasser.
Diese Kapselart ist stets ein Fertigprodukt von Pharmafirmen.,Die Schluckhilfe ist ein Überzug für Tabletten.
"Deshalb lösen sie sich rasch im Mund auf, bevor der Patient den Inhalt verschluckt.",Legen Sie den Kopf nicht in den Nacken.
"Oder das Medikament wirkt verzögert, weil es den Magen nicht schnell genug passiert.",So kann das Medikament getrunken werden.
"Vorsicht: Wer die Medikamente im Gefrierfach vereisen lässt, zerstört sie damit unter Umständen.",So kann eine gleichbleibende Menge des Wirkstoffs im Körper erhalten werden.
"Im menschlichen Organismus gibt es unterschiedlich viele, bis über 150 Schleimbeutel ( Bursae synoviales ).",Jeder Mensch hat Schleimbeutel im Körper.
Aber auch Hochleistungssportler können an einer Schleimbeutelentzündung erkranken.,Auch Erkrankungen können eine Schleimbeutel-Entzündung auslösen.
"Ist ein Schleimbeutel entzündet, erscheint der Bereich um den Schleimbeutel angeschwollen und reagiert empfindlich auf Druck oder Bewegung.",Manchmal ist diese Flüssigkeit auch nach der Entzündung noch im Schleimbeutel.
"Die Veränderungen führen dazu, dass die Gelenkstrukturen und dadurch auch die Schleimbeutel vermehrt belastet werden.",Die Schleimbeutel schützen zum Beispiel: die Haut die Sehnen die Muskeln
"Schleimbeutel-Entfernung Wird eine Schleimbeutelentzündung chronisch, hält sie also länger als etwa drei bis sechs Wochen an, kann es nötig sein, den Schleimbeutel im Rahmen eines kleinen chirurgischen Eingriffs zu entfernen (Bursektomie).",Es gibt typische Anzeichen für eine Schleimbeutel-Entzündung wie zum Beispiel: Der Bereich um den Schleimbeutel schwillt an.
Dadurch wird die Belastung des umgebenden Gewebes reduziert.,Was sind die Ursachen für die Beschwerden?
"Für Personen mit Seh- und Hörbeeinträchtigungen bieten wir Live-Audiodeskription, eine Induktionsanlage und Gebärdensprachdolmetscher*innen.","Für Menschen mit Seh- und Hör-Behinderungen gibt es Audio-Deskription, eine Induktions-Anlage und Gebärdensprach-Dolmetschung."
"Die Werke von Künstler*innen mit Behinderungen erhalten dabei einen ebenso großen Raum, wie die Arbeiten anderer Kulturschaffender.","Es wird besonders darauf geachtet, dass Kunst und Kultur von Menschen mit Behinderungen gesehen wird."
"Auf diese Weise werden unterschiedlichste Themen vielfältig erfahrbar gemacht, die auch für Menschen mit Behinderungen von Belang sind.",Dadurch erfährt man viel über Menschen mit Behinderungen und sieht das Leben aus einer anderen Perspektive.
"So wurden bereits Ausstellungen, (Hör-) Filmvorführungen, Lesungen, Konzerte und Podiumsdiskussionen mit verschiedenen Themenschwerpunkten realisiert – der Eintritt war und ist immer frei.","Wir haben bereits Ausstellungen, Hör-Film-Vorführungen, Lesungen, Konzerte und Diskussionen zu verschiedenen Themen gemacht."
Zunehmend arbeiten wir auch mit einer Live-Dolmetschung in Leichte Sprache.,Übersetzung in Leichte Sprache gibt es immer öfter auch live.
"Andere berichten von einem trockenen Mund, Blähungen oder allergischen Hautreaktionen.",Magen-Schmerzen trockener Mund Blähungen allergische Haut-Reaktionen
"Antientzündliche Effekte Wie Laboruntersuchungen zeigen, wirkt Kurkuma – vor allem das in der Pflanze enthaltene Curcumin –, leicht entzündungshemmend.",Das Curcumin in der Kurkuma wirkt gegen Entzündungen.
Gesetze für mehr Gerechtigkeit,Was ist die Chancen-Gerechtigkeit?
"Ausnahme ist die Unfallversicherung, in die nur die Arbeitgeber*innen einzahlen.",Bei der Unfall-Versicherung zahlt nur der Arbeitgeber ein.
Das Sozialstaatsprinzip Sicherheit und Gerechtigkeit im Sozialstaat Deutschland ist ein Sozialstaat.,Das Gesetz und die Politik in Deutschland sagen: Der Staat muss sich um die soziale Sicherheit und Gerechtigkeit kümmern.
"Alle Menschen sollen gleiche Chancen haben, am gesellschaftlichen Leben teilzunehmen.",Alle Menschen sollen gleiche Chancen haben.
"Zusätzlich hilft der Staat Menschen, die von Armut bedroht sind, sowie Familien mit Kindern durch Förder- und Fürsorgeleistungen.","Der Staat hilft auch den Menschen, die ganz wenig Geld zum Leben haben."
"Die Sozialversicherungen finanzieren sich überwiegend durch Beiträge, die Arbeitnehmer*innen und Arbeitgeber*innen gemeinsam bezahlen.",Die Beschäftigten und ihre Arbeitgeber zahlen Beiträge in die Sozial-Versicherung ein.
"Bildung ist eine wichtige Voraussetzung, deshalb werden Kitas, Schulen und Hochschulen vom Staat bezahlt.",Zum Beispiel bezahlt der Staat die Schulen und die Lehrerinnen und Lehrer.
Auch die Inklusion von Menschen mit Behinderung wird gefördert.,"Und Menschen mit Behinderung sollen die Förderung bekommen, die sie brauchen."
"Das Geld für Förder- und Fürsorgeleistungen stammt dagegen aus Steuern, die alle Bürger*innen an den Staat bezahlen müssen.",Alle Bürger und Bürgerinnen müssen Steuern an den Staat bezahlen.
"Das bedeutet: Für soziale Sicherheit und Gerechtigkeit zu sorgen, gehört zu den grundlegenden Aufgaben von Politik und Gesetzgebung.",Aber was sind soziale Sicherheit und soziale Gerechtigkeit ?
Es gelten Ausnahmen zum Beispiel bei der Krankenkasse für familienversicherte Student*innen.,"Zum Beispiel dürfen Studierende, die bei der Familie mit-versichert sind, nicht wählen."
Die gesetzliche Sozialversicherung soll Erwerbstätige und ihre Angehörigen gegen die wichtigsten Lebensrisiken absichern.,Beschäftigte zahlen in die gesetzliche Sozial-Versicherung ein.
"Das sind zum Beispiel Wohngeld, Kinder- und Elterngeld oder Sozialhilfe.",Dann bekommen sie Eltern-Geld.
Alle Beitragszahler*innen ab 16 Jahren.,Wenn du 16 Jahre alt bist und Beiträge in die Sozial-Versicherung zahlst.
Finanzierung des Sozialstaates: Woher kommt das Geld?,Woher kommt das Geld?
"Wer Geld aus den sozialen Sicherungssystemen und Fördertöpfen bekommt, ist im Gesetz festgelegt:","Das Schau-Bild zeigt, wie das Geld im Sozial-Staat verteilt ist."
"Antivirale Medikamente haben das Ziel, die Virusvermehrung zu unterbinden.",Antivirale Medikamente stoppen die Vermehrung der Viren.
Blockade anderer Enzyme,Enzym-Blocker stoppen die Enzyme.
Dieses Medikament wird zur Behandlung von parasitäeren Erkrankungen und der Kräzte schon seit langem eingesetzt.,Das ist ein Medikament gegen Parasiten.
Ein Ansatz sind sogenannte Immunmodulatoren.,Immunmodulatoren verhindern eine zu starke Reaktion des Immunsystems.
Über das Verschmelzen der Zellmembranen kann das Virus so sein Erbmaterial in die Wirtszelle einschleusen und sich dort vermehren.,So kann das Virus in die Zelle eindringen.
"Entweder kann man versuchen, das Eindringen des Virus in die Wirtszelle zu stoppen, indem die Viren bereits zuvor abgefangen beziehungsweise die Bindungsstellen besetzt werden oder indem die Virenvermehrung in der Zelle blockiert wird.",Dann kann das Virus nicht mehr so schnell in die menschlichen Zellen eindringen und sich dort vermehren.
"Wirkstoffe, welche gezielt an das Virus binden",Enzym-Blocker: Enzyme helfen Viren beim Vermehren.
Entzündungshemmung durch Cortison-Präparate,Medikamente mit dem Wirkstoff Cortison Interleukine
Diese werden über die Vene gegeben und können so gezielt an das Corona-Virus binden und dadurch das Andocken verhindern.,Die Antikörper können das Corona-Virus im Körper früh bekämpfen.
Entwickelt werden Medikamente aktuell in mehrere Richtungen:,Aktuell testen die Forscher verschiedene Medikamente.
"Die Forschungsarbeiten laufen weltweit auf Hochtouren, um Medikamente zur Behandlung einer Covid-19-Erkrankung zu finden.",COVID-19 verläuft bei vielen erkrankten Personen mild.
"Pharmafirmen weltweit testen bewährte und neue Wirkstoffe gegen Covid-19, wie der Verband Forschender Arzneimittelhersteller (VFA) mitteilt.",Sie wollen noch mehr über Medikamente gegen COVID-19 lesen?
Ein großes Forschungsfeld bilden die antiviralen Antikörpern.,Die ersten antiviralen Medikamente werden schon an erkrankten Personen getestet.
Die Zytokin-vermittelte überschießende Entzündungsreaktion ist bei der späten Phase einer Covid-19 Erkrankung von Bedeutung.,Beide Medikamente können vielleicht bei einem schweren COVID-19-Verlauf helfen.
Andrea Martin Doris Schwager Ravi Arora Heike Simon Rolf Trappen,Andrea Martin Martin Herpel Doris Schwager Ravi Arora Heike Simon Rolf Trappen Gerd Grünhagen
Sonderform: FFP-Masken mit Ventil,FFP-Masken mit Ventil
"Dahinter verbirgt sich ein Ventil, welches das Ausatmen zwar für die tragende Person erleichtert, aber auch die Ausatemluft ungefiltert in die Umgebung lässt.",Durch das Ventil kann die Atemluft beim Ausatmen nach draußen.
"Wer bsonders vorsichtig sein möchte, kann sich natürlich zusätzlich zur Mund-Nasen-Bedeckung mit einem Visier ausstatten.",Sie müssen einen Mund-Nasen-Schutz in bestimmten Bereichen tragen:
"Je dichter der Mund-Nasen-Schutz anliegt, umso besser.",So legen Sie einen Mundschutz richtig an.
"Zunächst einmal muss man zwischen verschiedenen Methoden unterscheiden, Mund und Nase zu bedecken.",Der Mundschutz muss den Mund und die Nase bedecken.
"Das hat auch seinen Grund: Tröpfchen oder Speichelspritzer, welche alle Menschen beim Husten , Niesen oder Sprechen ausscheiden, verteilen sich so zwar etwas weniger.",Dann können sich die Tröpfchen beim Husten oder Niesen nicht so leicht auf andere Personen übertragen.
Ein Mund-Nasen-Schutz wie ihn,Ein Mundschutz ist wie eine Maske.
FFP3-Masken dürfen noch weniger kleine Partikel durchlassen als FFP2-Masken.,Die Filter von FFP3-Masken sind noch kleiner.
"Darauf achten, dass auch die Außenseite der Mund-Nasen-Bedeckung nicht mit dem Gesicht in Kontakt kommt.",Der Mundschutz bedeckt die Nase nicht?
"Diese Filterpartikelmasken gehören ebenfalls in die Kategorie ""medizinischer Mundschutz"".",Andere Arten von Mundschutz sind zum Beispiel:
